date,place,sun_dur,prec,weather_label,weather_no
230414,odawara,0.733,0.0,cfrn,6
230414,ebina,0.55,0.0,cfrn,6
230414,gotenba,0.967,0.0,cnrn,9
230415,odawara,0.0,23.5,cyry,1
230415,ebina,0.0,15.5,cyry,1
230415,gotenba,0.0,26.5,cyry,1
230416,odawara,0.7,3.5,cfrf,5
230416,ebina,0.567,3.0,cfrf,5
230416,gotenba,0.483,7.5,cfrf,5
230417,odawara,0.983,0.0,cnrn,9
230417,ebina,0.617,0.5,cfrf,5
230417,gotenba,0.967,0.0,cnrn,9
230418,odawara,0.55,0.0,cfrn,6
230418,ebina,0.55,0.0,cfrn,6
230418,gotenba,0.6,0.0,cfrn,6
230419,odawara,0.967,0.0,cnrn,9
230419,ebina,1.0,0.0,cnrn,9
230419,gotenba,0.95,0.5,cnrf,8
230420,odawara,1.017,0.0,cnrn,9
230420,ebina,1.033,0.0,cnrn,9
230420,gotenba,1.05,0.0,cnrn,9
230421,odawara,1.017,0.0,cnrn,9
230421,ebina,0.85,0.0,cfrn,6
230421,gotenba,1.017,0.0,cnrn,9
230422,odawara,0.0,0.0,cyrn,3
230422,ebina,0.0,0.0,cyrn,3
230422,gotenba,0.0,0.0,cyrn,3
230423,odawara,0.167,0.0,cfrn,6
230423,ebina,0.067,0.0,cyrn,3
230423,gotenba,0.45,0.0,cfrn,6
230424,odawara,0.017,0.0,cyrn,3
230424,ebina,0.014,0.0,cyrn,3
230424,gotenba,0.0,0.0,cyrn,3
230425,odawara,0.086,0.0,cyrn,3
230425,ebina,0.629,0.0,cfrn,6
230425,gotenba,0.067,0.0,cyrn,3
230426,odawara,0.0,21.0,cyry,1
230426,ebina,0.0,12.0,cyry,1
230426,gotenba,0.0,28.5,cyry,1
230427,odawara,0.943,0.0,cnrn,9
230427,ebina,0.943,0.0,cnrn,9
230427,gotenba,0.929,0.0,cnrn,9
230428,odawara,0.943,0.0,cnrn,9
230428,ebina,0.943,0.0,cnrn,9
230428,gotenba,0.929,0.0,cnrn,9
230429,odawara,0.8,0.0,cfrn,6
230429,ebina,0.943,0.0,cnrn,9
230429,gotenba,0.929,0.0,cnrn,9
230430,odawara,0.0,6.5,cyrf,2
230430,ebina,0.0,2.0,cyrf,2
230430,gotenba,0.0,33.0,cyry,1
230501,odawara,0.514,0.0,cfrn,6
230501,ebina,0.2,0.0,cfrn,6
230501,gotenba,0.486,0.0,cfrn,6
230502,odawara,0.971,0.0,cnrn,9
230502,ebina,0.957,0.0,cnrn,9
230502,gotenba,0.943,0.0,cnrn,9
230503,odawara,0.914,0.0,cnrn,9
230503,ebina,0.9,0.0,cfrn,6
230503,gotenba,0.914,0.0,cnrn,9
230504,odawara,0.957,0.0,cnrn,9
230504,ebina,0.971,0.0,cnrn,9
230504,gotenba,0.957,0.0,cnrn,9
230505,odawara,0.971,0.0,cnrn,9
230505,ebina,0.971,0.0,cnrn,9
230505,gotenba,0.957,0.0,cnrn,9
230506,odawara,0.086,0.0,cyrn,3
230506,ebina,0.6,0.0,cfrn,6
230506,gotenba,0.729,0.0,cfrn,6
230507,odawara,0.0,1.5,cyrf,2
230507,ebina,0.0,1.0,cyrf,2
230507,gotenba,0.0,31.0,cyry,1
230508,odawara,0.0,70.0,cyry,1
230508,ebina,0.0,35.5,cyry,1
230508,gotenba,0.0,127.0,cyry,1
230509,odawara,0.871,0.0,cfrn,6
230509,ebina,0.857,0.0,cfrn,6
230509,gotenba,0.9,0.0,cfrn,6
230510,odawara,0.986,0.0,cnrn,9
230510,ebina,0.971,0.0,cnrn,9
230510,gotenba,0.986,0.0,cnrn,9
230511,odawara,0.686,0.0,cfrn,6
230511,ebina,0.943,0.0,cnrn,9
230511,gotenba,0.486,0.0,cfrn,6
230512,odawara,0.814,0.0,cfrn,6
230512,ebina,0.529,0.0,cfrn,6
230512,gotenba,0.414,0.0,cfrn,6
230513,odawara,0.0,9.5,cyrf,2
230513,ebina,0.0,1.0,cyrf,2
230513,gotenba,0.0,11.0,cyry,1
230514,odawara,0.0,3.5,cyrf,2
230514,ebina,0.0,1.0,cyrf,2
230514,gotenba,0.0,1.5,cyrf,2
230515,odawara,0.029,20.5,cyry,1
230515,ebina,0.0,21.5,cyry,1
230515,gotenba,0.0,21.5,cyry,1
230516,odawara,1.0,0.0,cnrn,9
230516,ebina,0.986,0.0,cnrn,9
230516,gotenba,1.0,0.0,cnrn,9
230517,odawara,0.971,0.0,cnrn,9
230517,ebina,0.971,0.0,cnrn,9
230517,gotenba,0.986,0.0,cnrn,9
230518,odawara,0.971,0.0,cnrn,9
230518,ebina,0.971,0.0,cnrn,9
230518,gotenba,1.0,0.0,cnrn,9
230519,odawara,0.0,0.0,cyrn,3
230519,ebina,0.0,0.0,cyrn,3
230519,gotenba,0.0,0.0,cyrn,3
230520,odawara,0.329,1.5,cfrf,5
230520,ebina,0.029,2.5,cyrf,2
230520,gotenba,0.286,0.5,cfrf,5
230521,odawara,0.086,0.0,cyrn,3
230521,ebina,0.157,0.0,cfrn,6
